Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2021-07-27,12086,10.4,10.48,9.67,10.49,9073601
2021-07-29,3594,10.38,10.63,10.38,10.963,8401721
2021-07-30,34821,10.48,10.48,10.4058,10.89,5493768
2021-08-02,298364,10.5,10.3,10.3,10.57,4925814
2021-08-03,1606,10.56,10.26,9.92,10.59,5873845
2021-08-04,26843,10.18,10.38,10.03,10.38,7245818
2021-08-05,2248,10.53,10.08,10.0,10.92,11425722
2021-08-06,5150,10.6,10.33,10.3,10.7,4693101
2021-08-09,20243,10.77,10.28,10.23,11.06,6356580
2021-08-10,10285,10.67,10.66,10.43,11.15,4933325
2021-08-11,14534,10.72,10.5,10.5,10.72,5315015
2021-08-12,87952,10.45,10.58,10.17,10.58,3697048
2021-08-13,15783,10.3,10.21,10.21,10.3225,5839570
2021-08-16,38763,9.69,9.99,9.69,10.36,7587725
2021-08-17,26793,10.09,10.0,9.8,10.09,9592383
2021-08-18,151738,10.18,9.9,9.9,10.59,10188756
2021-08-19,234555,9.58,10.13,9.58,10.4,8048459
2021-08-20,48249,9.96,9.67,9.51,10.3,5359932
2021-08-23,19889,10.22,9.7,9.7,10.71,8755652
2021-08-24,4000,11.2,10.52,10.52,11.72,25282684
2021-08-25,27872,11.11,11.6,11.11,12.04,26680586
2021-08-26,36245,11.21,10.92,10.92,11.47,13545784
2021-08-27,24943,11.5,10.88,10.88,11.5,12904392
2021-08-30,205,11.22,11.8,11.03,11.96,10418320
2021-08-31,39275,11.78,11.32,11.32,11.78,8989087
2021-09-02,34702,11.57,11.84,11.1,12.05,8835199
2021-09-03,19691,11.47,11.8,11.07,11.8,4993796
2021-09-08,356,10.72,11.28,10.72,11.28,6862480
2021-09-09,45104,10.88,10.4,10.4,11.513,9397368
2021-09-10,4997,10.55,11.14,10.55,11.14,5050165
2021-09-13,36606,10.6,10.44,10.44,10.86,6476195
2021-09-14,193324,10.11,10.6,10.058,10.79,7192983
